system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Std_L_strength,SD,SD_std
Bw,Biomass,PO4,0.215876513,0.011015821,0.961904705,7.15E-07,TRUE,0.595668869,0.031179936,0.086034915
Bw,Temp,Richness,0.104700942,0.073471256,0.925820053,5.01E-06,FALSE,0.288901699,0.034357314,0.094802264
Bw,Temp,Biomass,0.319379033,9.48E-06,0.980952322,4.77E-07,TRUE,0.881263757,0.035422417,0.097741206
Bw,NO3,Richness,0.325205924,0.000177541,0.961904705,7.15E-07,TRUE,0.89734192,0.026071588,0.071939429
Bw,NO3,Biomass,0.264681919,0.001097864,0.99999994,2.38E-07,TRUE,0.730337806,0.035047923,0.096707864
Bw,PO4,Richness,0.320925176,0.000316236,0.961904705,7.15E-07,TRUE,0.885530038,0.031073008,0.085739867
Bw,PO4,Biomass,0.305645067,0.000168164,0.828571379,2.09E-05,TRUE,0.843367575,0.02468442,0.068111812
Ks3,Richness,Biomass,0.448815368,1.84E-05,0.561904728,0.004101396,TRUE,0.738974765,0.02961427,0.048759913
Ks3,Richness,NO3,0.607348707,1.78E-08,0.99999994,8.34E-07,TRUE,1,0.021102233,0.034744839
Ks3,Richness,PO4,0.06994033,0.168712988,0.790476143,4.95E-05,FALSE,0.115156794,0.040041066,0.065927638
Ks3,Biomass,Richness,0.403978426,0.000919366,0.99999994,8.34E-07,TRUE,0.665150715,0.017109807,0.028171307
Ks3,Biomass,NO3,0.380725052,1.53E-06,0.956043899,2.50E-06,TRUE,0.626864021,0.028641136,0.047157648
Ks3,Biomass,PO4,0.277788198,0.000378169,0.980952322,4.77E-07,TRUE,0.457378431,0.035220333,0.0579903
Ks3,Temp,Richness,0.110321628,0.064656718,0.934065878,4.29E-06,FALSE,0.181644625,0.04157692,0.068456423
Ks3,Temp,Biomass,0.230004643,0.000661113,0.918670774,2.50E-06,TRUE,0.378702779,0.036743678,0.060498487
Ks3,NO3,Richness,0.454970243,8.26E-06,0.97802192,1.43E-06,TRUE,0.74910877,0.024941315,0.041065889
Ks3,NO3,Biomass,0.403632925,6.86E-06,0.923809469,2.03E-06,TRUE,0.664581847,0.032946878,0.054247054
Ks3,PO4,Richness,0.227228049,0.000770839,0.913873434,1.76E-05,TRUE,0.374131115,0.030332314,0.049942173
Ks3,PO4,Biomass,0.198595443,0.005571396,0.961904705,7.15E-07,TRUE,0.326987512,0.039283678,0.064680599
Ks9,Richness,Biomass,0.369351259,0.000134312,0.787878692,0.000470161,TRUE,0.58584844,0.021001825,0.04516194
Ks9,Richness,NO3,0.435413198,6.55E-06,0.969696879,1.56E-05,TRUE,0.690632931,0.019222339,0.045871794
Ks9,Richness,PO4,0.471174479,3.56E-10,1.000000119,2.62E-06,TRUE,0.747355876,0.021128792,0.048500855
Ks9,Biomass,Richness,0.41196231,5.59E-08,0.999999881,8.34E-06,TRUE,0.653436182,0.031848799,0.062178454
Ks9,Biomass,NO3,0.578806282,3.73E-10,1.000000119,2.62E-06,TRUE,0.918076625,0.018859399,0.049876912
Ks9,Biomass,PO4,0.481573414,7.64E-08,0.969696879,1.56E-05,TRUE,0.763850201,0.027372673,0.058405104
Ks9,Temp,Richness,0.157180034,0.018404095,0.999999881,8.34E-06,TRUE,0.249311937,0.032913577,0.057358242
Ks9,Temp,Biomass,0.231232294,0.000630759,0.879049003,0.000230789,TRUE,0.366770318,0.034678814,0.06037257
Ks9,NO3,Richness,0.431378556,1.01E-08,0.999999881,8.34E-06,TRUE,0.684233363,0.034217155,0.065177393
Ks9,NO3,Biomass,0.630455308,9.27E-11,1.000000119,2.62E-06,TRUE,1,0.029786019,0.016892544
Ks9,PO4,Richness,0.392706154,1.62E-07,0.999999881,8.34E-06,TRUE,0.622892929,0.032994359,0.064164411
Ks9,PO4,Biomass,0.494738196,1.00E-08,0.999999881,8.34E-06,TRUE,0.784731589,0.032107066,0.066776167
Me,Richness,Biomass,0.094029682,0.215870279,0.836660028,0.096092343,FALSE,0.250667427,0.153393637,0.408921816
Me,Richness,NO3,0.234832322,0.033844954,1,0.002666712,TRUE,0.626023746,0.088550566,0.23606102
Me,Richness,PO4,0.206931978,0.037371872,1.000000119,0.000836611,TRUE,0.55164609,0.061285072,0.163375765
Me,Biomass,Richness,0.093739833,0.216584954,0.809523821,0.016260982,FALSE,0.249894738,0.076879356,0.204947522
Me,Biomass,NO3,0.165566697,0.081795076,0.975900054,0.003897905,FALSE,0.44137316,0.075772076,0.201995699
Me,Biomass,PO4,0.375117275,0.005114797,1,0.002666712,TRUE,1,0.076529019,0.204013581
Me,Temp,Richness,0.228739892,0.018636661,0.925820053,0.007680297,TRUE,0.609782346,0.078793922,0.210051434
Me,Temp,Biomass,0.270459764,0.010381788,0.948683262,0.04326272,TRUE,0.721000555,0.08881039,0.236753665
Me,NO3,Richness,0.117940365,0.144612548,0.981980562,0.001188755,FALSE,0.314409314,0.066350278,0.176878758
Me,NO3,Biomass,0.11275896,0.1824667,1,0.002666712,FALSE,0.300596554,0.084215312,0.224503955
Me,PO4,Richness,0.141049535,0.102032857,0.88640523,0.005275846,FALSE,0.3760145,0.076799296,0.204734096
Me,PO4,Biomass,0.299122982,0.005050837,NA,NA,NA,0.797411907,0.17439006,0.464894771
Mo,Richness,Biomass,0.207085433,0.049010945,0.948683262,0.04326272,TRUE,0.307957776,0.104425955,0.155292357
Mo,Richness,NO3,0.101238315,0.192709766,0.925820053,0.007680297,FALSE,0.150552001,0.067415422,0.100253809
Mo,Richness,PO4,0.393092709,0.007869592,0.99999994,0.008534908,TRUE,0.584570121,0.081226996,0.120793069
Mo,Biomass,Richness,0.293511982,0.008629589,1,0.002666712,TRUE,0.436483127,0.087912819,0.130735589
Mo,Biomass,NO3,0.197958855,0.05710118,0.948683262,0.04326272,FALSE,0.294385596,0.109976142,0.163546066
Mo,Biomass,PO4,0.262998378,0.043568578,1,0.002666712,TRUE,0.391106194,0.101749252,0.151311818
Mo,Temp,Richness,0.265868815,0.0120526,1.000000119,0.000836611,TRUE,0.395374836,0.055024127,0.081826653
Mo,Temp,Biomass,0.672447488,1.89E-08,0.99999994,0.089429379,FALSE,1,0.113716897,0.169108963
Mo,NO3,Richness,0.142692165,0.109809952,0.774596691,0.071238995,FALSE,0.212198227,0.09352958,0.139088303
Mo,NO3,Biomass,0.598526075,9.33E-07,0.99999994,0.089429379,FALSE,0.8900711,0.114333776,0.170026326
Mo,PO4,Richness,0.114937124,0.161972805,0.666666627,0.308179498,FALSE,0.170923568,0.107076436,0.1592339
Mo,PO4,Biomass,0.441522824,0.000105747,0.666666627,0.308179498,FALSE,0.656590785,0.134091897,0.199408726
Mu,Richness,Biomass,0.23026041,0.008269059,0.944911242,0.002241373,TRUE,0.517595667,0.055555495,0.124881579
Mu,Richness,NO3,0.444865411,2.39E-06,1.000000119,2.62E-05,TRUE,1,0.030714021,0.069041153
Mu,Richness,PO4,0.398640333,1.32E-05,0.963636458,5.16E-05,TRUE,0.896091993,0.042534092,0.095611145
Mu,Biomass,Richness,0.131083823,0.08886735,0.912870944,0.001489162,FALSE,0.294659507,0.059235583,0.133153942
Mu,Biomass,NO3,0.273471579,0.002500321,0.866666675,0.000676751,TRUE,0.614728796,0.039806721,0.089480368
Mu,Biomass,PO4,0.233265679,0.007564344,0.963636458,5.16E-05,TRUE,0.524351125,0.046339187,0.104164508
Mu,Temp,Richness,0.11155427,0.115327821,0.881917059,0.001088381,FALSE,0.250759595,0.044642564,0.100350719
Mu,Temp,Biomass,0.170055077,0.03959149,0.873326063,0.001661658,TRUE,0.382261855,0.050561966,0.11365677
Mu,NO3,Richness,0.406351722,8.39E-06,0.955555558,0.000172257,TRUE,0.913426199,0.045621625,0.102551522
Mu,NO3,Biomass,0.200783861,0.019733731,0.428571463,0.173546195,FALSE,0.451336192,0.06991558,0.157161195
Mu,PO4,Richness,0.373954566,7.17E-05,0.955555558,0.000172257,TRUE,0.840601576,0.040617413,0.0913027
Mu,PO4,Biomass,0.297943402,0.000841905,0.929669678,0.000795007,TRUE,0.669738296,0.062296907,0.140035404
Ng,Richness,Biomass,0.322568597,0.006478116,0.666666687,0.016488671,TRUE,0.612181605,0.039799194,0.075532257
Ng,Richness,NO3,0.324182326,0.019077952,0.925820053,0.007680297,TRUE,0.615244195,0.065993019,0.125243786
Ng,Richness,PO4,0.181419194,0.129056912,0.925820053,0.007680297,FALSE,0.344303488,0.08430152,0.159990279
Ng,Biomass,Richness,0.33290968,0.006022051,1,0.000263214,TRUE,0.631807262,0.044576837,0.08459943
Ng,Biomass,NO3,0.526916514,0.000747781,1,0.002666712,TRUE,1,0.056494712,0.107217577
Ng,Biomass,PO4,0.262182005,0.048978765,1,0.002666712,TRUE,0.497577887,0.08090551,0.153545216
Ng,Temp,Richness,0.257938311,0.008772417,1.000000119,0.000836611,TRUE,0.489524061,0.050429591,0.095706985
Ng,Temp,Biomass,0.061846202,0.288651972,0.763762593,0.012192011,FALSE,0.117373816,0.059377942,0.112689469
Ng,NO3,Richness,0.088395613,0.29241849,0.592156529,0.128275275,FALSE,0.167760188,0.081115001,0.153942795
Ng,NO3,Biomass,0.207717765,0.096909162,0.925820053,0.007680297,FALSE,0.394213807,0.078361895,0.148717858
Ng,PO4,Richness,0.219910977,0.084081241,0.925820053,0.007680297,FALSE,0.417354498,0.058665827,0.111337994
Ng,PO4,Biomass,0.303269769,0.026792228,0.925820053,0.007680297,TRUE,0.575555636,0.074151529,0.140727283
Wc,Richness,Biomass,0.36767478,0.000226137,1,0.000263214,TRUE,0.941791199,0.046004624,0.117839874
Wc,Richness,NO3,0.175497985,0.092246977,0.925820053,0.007680297,FALSE,0.44953439,0.10742187,0.275158855
Wc,Richness,PO4,0.379880374,0.001382489,0.975900054,0.003897905,TRUE,0.973055573,0.093279873,0.238934428
Wc,Biomass,Richness,0.308566645,0.000864295,0.944911242,0.002241373,TRUE,0.790386959,0.064426776,0.165027829
Wc,Biomass,NO3,0.083002072,0.266785882,0.805822968,0.011602759,FALSE,0.212608058,0.070013196,0.179337326
Wc,Biomass,PO4,0.306582468,0.008882461,0.975900054,0.003897905,TRUE,0.78530453,0.092343947,0.236537074
Wc,Temp,Richness,0.298213896,0.001226437,0.869318306,0.005085826,TRUE,0.763868609,0.053026079,0.135825184
Wc,Temp,Biomass,0.116628412,0.124880555,0.763762593,0.012192011,FALSE,0.29874122,0.066638461,0.170693013
Wc,NO3,Richness,0.291917759,0.012226256,0.878310025,0.009809136,TRUE,0.747741188,0.072207553,0.184958126
Wc,NO3,Biomass,0.252009902,0.026965738,0.925820053,0.007680297,TRUE,0.645518054,0.071532647,0.183229367
Wc,PO4,Richness,0.390399464,0.001065562,1,0.002666712,TRUE,1,0.067975852,0.174118712
Wc,PO4,Biomass,0.271062805,0.018742575,0.925820053,0.007680297,TRUE,0.694321663,0.092395516,0.236669168
Ft,Richness,Biomass,0.094427987,0.10843956,0.893980265,1.37E-05,FALSE,0.198865392,0.042405452,0.089305905
Ft,Richness,NO3,0.332938577,5.53E-05,0.927272797,9.92E-05,TRUE,0.701168825,0.040629621,0.085566004
Ft,Richness,PO4,0.148163889,0.025818599,0.874083102,0.000782251,TRUE,0.312033231,0.046116026,0.097120375
Ft,Biomass,Richness,0.081842636,0.142424559,0.864332557,0.000563741,FALSE,0.172360636,0.056095395,0.118136933
Ft,Biomass,NO3,0.054651528,0.244134982,0.700649142,0.009204984,FALSE,0.115096147,0.047648444,0.10034765
Ft,Biomass,PO4,0.092542979,0.111433421,0.849281251,3.65E-05,FALSE,0.194895564,0.046106573,0.097100467
Ft,Temp,Richness,0.08522913,0.132649374,0.773492455,0.000154853,FALSE,0.179492595,0.040172906,0.084604163
Ft,Temp,Biomass,0.047799921,0.258491849,0.956948698,9.54E-07,FALSE,0.10066666,0.037521868,0.079021074
Ft,NO3,Richness,0.474833685,3.33E-08,1.000000119,2.62E-05,TRUE,1,0.02877336,0.060596711
Ft,NO3,Biomass,0.22962871,0.0015285,0.960768998,1.06E-05,TRUE,0.483598189,0.042874421,0.090293554
Ft,PO4,Richness,0.099334517,0.096894945,0.879049003,0.000230789,FALSE,0.209198547,0.052072844,0.109665439
Ft,PO4,Biomass,0.222653073,0.018570692,0.890109837,1.19E-05,TRUE,0.468907494,0.043317193,0.091226031
Iba,Richness,Biomass,0.303706591,0.000886995,0.626373589,0.002171516,TRUE,0.752056046,0.034760378,0.086075684
Iba,Richness,NO3,0.40383505,0.003785909,0.846153796,3.17E-05,TRUE,1,0.023873571,0.059117134
Iba,Richness,PO4,0.318852014,4.06E-05,0.961904705,7.15E-07,TRUE,0.789560031,0.034948579,0.086541718
Iba,Biomass,Richness,0.268273858,0.00108539,0.97802192,1.43E-06,TRUE,0.664315437,0.036421149,0.090188183
Iba,Biomass,NO3,0.290790604,0.000174899,0.99999994,8.34E-07,TRUE,0.720072723,0.035820809,0.088701586
Iba,Biomass,PO4,0.216525585,0.001644289,0.920989871,9.06E-06,TRUE,0.536173335,0.040208928,0.099567702
Iba,Temp,Richness,0.235587029,0.000668808,0.966470838,3.22E-06,TRUE,0.583374397,0.040828161,0.101101083
Iba,Temp,Biomass,0.142688622,0.027462195,0.99999994,2.38E-07,TRUE,0.353333923,0.03480738,0.086192073
Iba,NO3,Richness,0.368121823,0.000248286,0.99999994,8.34E-07,TRUE,0.911564816,0.029357539,0.072696858
Iba,NO3,Biomass,0.259910542,0.000949259,0.912087858,7.15E-06,TRUE,0.643605705,0.032817342,0.081264225
Iba,PO4,Richness,0.348308257,2.66E-05,0.97802192,1.43E-06,TRUE,0.862501305,0.037477921,0.092805022
Iba,PO4,Biomass,0.209951309,0.008094273,0.942857087,1.19E-06,TRUE,0.519893726,0.034034324,0.084277786
Ibb,Richness,Biomass,0.463156009,1.99E-05,0.97802192,1.43E-06,TRUE,0.752229646,0.021524989,0.03495957
Ibb,Richness,NO3,0.615710922,7.43E-07,0.912087858,7.15E-06,TRUE,1,0.016697068,0.027118355
Ibb,Richness,PO4,0.166121486,0.012538686,0.995226622,3.58E-07,TRUE,0.269804351,0.043628855,0.070859316
Ibb,Biomass,Richness,0.360908245,8.29E-06,0.97802192,1.43E-06,TRUE,0.586165086,0.034802046,0.056523353
Ibb,Biomass,NO3,0.499686189,2.19E-08,0.99999994,8.34E-07,TRUE,0.811559729,0.024226354,0.039346962
Ibb,Biomass,PO4,0.182000265,0.029983688,0.828571379,2.09E-05,TRUE,0.295593693,0.038677554,0.062817717
Ibb,Temp,Richness,0.142445367,0.032231362,0.883991361,1.48E-05,TRUE,0.231351048,0.039876571,0.064765086
Ibb,Temp,Biomass,0.063279865,0.198616074,0.850275457,5.26E-05,FALSE,0.102775285,0.038882228,0.063150135
Ibb,NO3,Richness,0.523054747,0.001219002,0.67032963,0.001020908,TRUE,0.849513511,0.02451384,0.039813879
Ibb,NO3,Biomass,0.593960396,9.59E-11,0.97802192,1.43E-06,TRUE,0.964674126,0.021985172,0.035706971
Ibb,PO4,Richness,0.102701925,0.091920676,0.923809469,2.03E-06,FALSE,0.166802181,0.038016942,0.06174479
Ibb,PO4,Biomass,0.159106222,0.016019011,0.95029074,3.10E-06,TRUE,0.258410589,0.04082382,0.06630355
Ibc,Richness,Biomass,0.375490197,0.000897386,0.758241713,0.000197172,TRUE,0.550553934,0.02462663,0.036108234
Ibc,Richness,NO3,0.682022548,2.55E-08,0.97802192,1.43E-06,TRUE,1,0.016541507,0.024253607
Ibc,Richness,PO4,0.28577283,6.88E-05,0.890109837,1.19E-05,TRUE,0.419007891,0.035676745,0.052310214
Ibc,Biomass,Richness,0.297167416,0.000239776,0.97802192,1.43E-06,TRUE,0.435714943,0.032576314,0.047764277
Ibc,Biomass,NO3,0.261182237,0.000621682,0.99999994,8.34E-07,TRUE,0.382952496,0.042328411,0.062063067
Ibc,Biomass,PO4,0.186535739,0.005839219,0.994490325,1.07E-06,TRUE,0.273503771,0.034709628,0.0508922
Ibc,Temp,Richness,0.104042012,0.081494317,0.920989871,9.06E-06,FALSE,0.152549227,0.041824206,0.061323788
Ibc,Temp,Biomass,0.105675906,0.07821773,0.938679278,4.89E-06,FALSE,0.154944886,0.037922495,0.055602993
Ibc,NO3,Richness,0.505268876,0.000469604,0.868131816,1.96E-05,TRUE,0.740838961,0.020482606,0.030032154
Ibc,NO3,Biomass,0.430736043,7.32E-07,0.99999994,8.34E-07,TRUE,0.631556896,0.029583808,0.043376584
Ibc,PO4,Richness,0.108576436,0.072645943,0.966470838,3.22E-06,FALSE,0.159197722,0.03696703,0.054202065
Ibc,PO4,Biomass,0.139439673,0.030383618,0.751392663,0.000239372,TRUE,0.204450239,0.038691517,0.056730554
Ibd,Richness,Biomass,0.470705676,2.28E-05,0.824175775,5.10E-05,TRUE,0.991191769,0.040954721,0.08624069
Ibd,Richness,NO3,0.474888605,0.000164612,0.956043899,2.50E-06,TRUE,1,0.025927041,0.054596048
Ibd,Richness,PO4,0.172190984,0.023734012,0.912087858,7.15E-06,TRUE,0.362592368,0.041922074,0.0882777
Ibd,Biomass,Richness,0.281831638,0.000391222,0.980952322,4.77E-07,TRUE,0.593468942,0.040493543,0.085269561
Ibd,Biomass,NO3,0.246118744,0.000552459,0.956043899,2.50E-06,TRUE,0.518266266,0.030817752,0.064894696
Ibd,Biomass,PO4,0.182446718,0.018128967,0.942857087,1.19E-06,TRUE,0.384188452,0.036481294,0.07682074
Ibd,Temp,Richness,0.098742902,0.092825195,0.898249328,1.51E-05,FALSE,0.207928556,0.040843669,0.086006841
Ibd,Temp,Biomass,0.068354959,0.180181081,0.755928934,0.000456452,FALSE,0.143938932,0.039875258,0.083967604
Ibd,NO3,Richness,0.390953559,0.000169167,0.97802192,1.43E-06,TRUE,0.823253189,0.033265645,0.070049365
Ibd,NO3,Biomass,0.215134025,0.011776486,0.780219734,0.000127077,TRUE,0.453019978,0.055195477,0.116228261
Ibd,PO4,Richness,0.165767851,0.015467745,0.846153796,3.17E-05,TRUE,0.349066811,0.038398099,0.080857065
Ibd,PO4,Biomass,0.109435404,0.071055011,0.961028755,2.86E-06,FALSE,0.230444368,0.041031041,0.086401401
Vo,Richness,Biomass,0.36207409,0.000241607,1,0.000263214,TRUE,1,0.043666424,0.120600798
Vo,Richness,NO3,0.137797204,0.089385767,0.852012873,0.003099442,FALSE,0.380577368,0.050485756,0.139434877
Vo,Richness,PO4,0.195377238,0.027497053,1,8.31E-05,TRUE,0.539605687,0.053893719,0.148847213
Vo,Biomass,Richness,0.275087523,0.00498685,1,0.000263214,TRUE,0.759754787,0.054258075,0.149853515
Vo,Biomass,NO3,0.17002353,0.095210953,1,8.31E-05,FALSE,0.46958215,0.047117868,0.130133222
Vo,Biomass,PO4,0.108201293,0.146130767,0.955555558,0.000172257,FALSE,0.298837437,0.048959661,0.135220006
Vo,Temp,Richness,0.036455831,0.363591515,0.618283987,0.044938564,FALSE,0.100686108,0.054438558,0.150351983
Vo,Temp,Biomass,0.049221725,0.318743846,0.873326063,0.001661658,FALSE,0.135943794,0.05218056,0.144115698
Vo,NO3,Richness,0.177528652,0.040961475,0.911111116,0.000346661,TRUE,0.490310289,0.044166006,0.121980576
Vo,NO3,Biomass,0.23329547,0.011510972,1,0.000263214,TRUE,0.64433075,0.053471742,0.147681769
Vo,PO4,Richness,0.1531725,0.111148765,0.611111104,0.028567672,FALSE,0.42304187,0.051858921,0.143227374
Vo,PO4,Biomass,0.229330233,0.013593659,1,8.31E-05,TRUE,0.633379299,0.050366182,0.139104629
Od,Richness,Biomass,0.383788383,9.19E-05,0.912870884,0.148561716,FALSE,0.528311111,0.17349107,0.238822392
Od,Richness,NO3,0.42551737,0.005528152,0.800000012,0.086410761,FALSE,0.585753932,0.079063612,0.108836501
Od,Richness,PO4,0.726443898,6.83E-09,NA,NA,NA,1,0.120286113,0.16558211
Od,Biomass,Richness,0.444793471,0.000426039,0.99999994,0.089429379,FALSE,0.612288811,0.155245349,0.213705903
Od,Biomass,NO3,0.246434504,0.048182171,0.888888896,0.001229405,TRUE,0.339234048,0.053024451,0.072991805
Od,Biomass,PO4,0.517965227,4.24E-05,1,0.002666712,TRUE,0.713014767,0.067923556,0.093501448
Od,Temp,Richness,0.375313337,0.000131808,NA,NA,NA,0.516644627,0.17789217,0.24488081
Od,Temp,Biomass,0.498019382,4.21E-06,0.99999994,0.089429379,FALSE,0.68555794,0.130755532,0.179993985
Od,NO3,Richness,0.457753148,3.32E-05,1.000000119,0.000836611,TRUE,0.630128698,0.059530549,0.081947896
Od,NO3,Biomass,0.240197359,0.008189953,0.809523821,0.016260982,TRUE,0.330648189,0.069848856,0.096151755
Od,PO4,Richness,0.341041892,0.000796493,1.000000119,0.000836611,TRUE,0.469467626,0.064425361,0.088685941
Od,PO4,Biomass,0.432504952,8.60E-05,1,0.002666712,TRUE,0.59537282,0.067169629,0.092463616
Mg,Richness,Biomass,0.364583754,4.50E-05,0.925820053,0.007680297,TRUE,0.92467521,0.072464738,0.183788624
Mg,Richness,NO3,0.330962847,0.000212526,1,0.027486324,TRUE,0.839404216,0.127461171,0.323273278
Mg,Richness,PO4,0.214990935,0.01278826,0.944444418,0.000580668,TRUE,0.54527056,0.048180456,0.122197637
Mg,Biomass,Richness,0.218972768,0.011282084,0.898933113,0.000461221,TRUE,0.55536948,0.0469305,0.119027439
Mg,Biomass,NO3,0.292837531,0.000996853,0.90476191,0.006863832,TRUE,0.742708917,0.067042921,0.170037546
Mg,Biomass,PO4,0.217909715,0.011790564,0.943879783,0.000231504,TRUE,0.552673314,0.053364958,0.135346825
Mg,Temp,Richness,0.179278312,0.034230191,0.890909135,0.000186324,TRUE,0.454694455,0.054743813,0.138843946
Mg,Temp,Biomass,0.129734766,0.09062432,0.632455528,0.288844347,FALSE,0.329039681,0.110165881,0.279408115
Mg,NO3,Richness,0.314413116,0.003490608,0.911111116,0.000346661,TRUE,0.797429977,0.037796415,0.095861122
Mg,NO3,Biomass,0.394283041,9.71E-06,1,0.002666712,TRUE,1,0.057416971,0.145623739
Mg,PO4,Richness,0.195095162,0.021678093,0.972344935,5.94E-05,TRUE,0.494809926,0.047780397,0.121182987
Mg,PO4,Biomass,0.099890409,0.152788041,0.966091812,0.00019753,FALSE,0.253346957,0.045621288,0.11570695
Kn,Richness,Biomass,0.475361429,5.61E-06,1,0.000263214,TRUE,0.986720134,0.037768643,0.078397359
Kn,Richness,NO3,0.39254226,0.000336425,0.888888896,0.001229405,TRUE,0.814810222,0.029178272,0.060566102
Kn,Richness,PO4,0.402589539,0.001774832,0.944444418,0.000580668,TRUE,0.835665621,0.049592422,0.102940286
Kn,Biomass,Richness,0.379527472,0.000473012,1,0.000263214,TRUE,0.787795086,0.039075275,0.081109568
Kn,Biomass,NO3,0.481759126,2.83E-06,1,0.000263214,TRUE,1,0.055711982,0.115642817
Kn,Biomass,PO4,0.311990919,0.001019091,0.944444418,0.000580668,TRUE,0.6476077,0.055269878,0.114725129
Kn,Temp,Richness,0.469329384,1.94E-07,1,0.000263214,TRUE,0.97419926,0.053141607,0.110307422
Kn,Temp,Biomass,0.233846633,0.015260242,0.866666675,0.000676751,TRUE,0.485401564,0.046258813,0.096020627
Kn,NO3,Richness,0.356063844,0.000110083,0.955555558,0.000172257,TRUE,0.739091021,0.04564817,0.094753099
Kn,NO3,Biomass,0.348094243,0.000140216,0.849836588,0.003972292,TRUE,0.722548312,0.048116414,0.099876497
Kn,PO4,Richness,0.469775877,2.04E-05,0.944444418,0.000580668,TRUE,0.975126057,0.035354123,0.073385477
Kn,PO4,Biomass,0.25458816,0.004858243,0.944444418,0.000580668,TRUE,0.528455293,0.038843509,0.080628487
Wd,Richness,Biomass,0.315843057,0.009020904,0.944444418,0.000580668,TRUE,0.897054248,0.049516391,0.140635953
Wd,Richness,NO3,0.10725261,0.152192567,0.986013293,0.000365019,FALSE,0.304617775,0.058928494,0.16736811
Wd,Richness,PO4,0.34967932,0.000610556,0.833333313,0.002498984,TRUE,0.993155657,0.049332694,0.140114219
Wd,Biomass,Richness,0.352089138,0.000225032,1.000000119,0.000836611,TRUE,1,0.058734255,0.166816436
Wd,Biomass,NO3,0.175961031,0.033573988,0.890909135,0.000186324,TRUE,0.499762734,0.060900666,0.172969455
Wd,Biomass,PO4,0.171071525,0.045771766,0.890909135,0.000186324,TRUE,0.48587561,0.053027718,0.150608786
Wd,Temp,Richness,0.273251051,0.003740967,0.928571463,0.001981735,TRUE,0.776084863,0.052021421,0.147750711
Wd,Temp,Biomass,0.081194207,0.201074379,0.690065563,0.008469939,FALSE,0.230606964,0.048963838,0.139066597
Wd,NO3,Richness,0.296524943,0.001771379,0.925820053,0.007680297,TRUE,0.842187136,0.067952766,0.192998758
Wd,NO3,Biomass,0.028549208,0.384374372,0.816496551,0.003182054,FALSE,0.081085172,0.052517241,0.149158935
Wd,PO4,Richness,0.256452455,0.006170283,0.69102335,0.024821877,TRUE,0.728373662,0.061201113,0.173822779
Wd,PO4,Biomass,0.338681292,0.000792549,1,8.31E-05,TRUE,0.96191917,0.05439064,0.154479745
