Year,Month,Richness,Biomass_(Chla)_£gg/l,Temperature_DegreeCelsius,NO3_£gg/l,PO4_£gg/l
1983,3,NA,68.5,8.4,160.5,3.5
1983,4,10,97,16,5,4
1983,5,14,57,22,6,8
1983,6,21,84,20.5,3,2
1983,7,20,69,21.8,113,9
1983,8,19,50,30.9,11,6
1983,9,10,47,30.8,365,6
1983,10,16,64,23.9,204,8
1983,11,12,80,13.9,342,4
1983,12,NA,37,8.9,465,3
1984,1,11,19,4.1,276,2
1984,2,9,20,1.8,648,1
1984,3,9,6,5.8,574,1
1984,4,12,11,10.7,559,1
1984,5,15,15,18.1,206,1
1984,6,17,6,22,84,1
1984,7,27,39,23.2,4,1
1984,8,22,65,31,2,10
1984,9,17,67,26.4,26,54
1984,10,9,85,21.8,1,23
1984,11,20,72,15.1,43,1
1984,12,21,49,9.6,203,5
1985,1,14,26,3.5,312,1
1985,2,14,14,3.9,349,2
1985,3,9,37,5.7,334,1
1985,4,16,48,13.2,326,2
1985,5,15,58,18.6,112,1
1985,6,13,42,20.8,12,4
1985,7,28,115,23.3,40,6
1985,8,19,36,29.5,87,22
1985,9,19,64,27.9,1,3
1985,10,24,48,20.5,58,1
1985,11,21,81,15.2,218,1
1985,12,18,34,8.8,257,2
1986,1,8,12,4.4,446,1
1986,2,8,6,3.3,464,1
1986,3,8,21,NA,348,3
1986,4,9,13,11.1,286,2
1986,5,12,54,17.2,2,2
1986,6,11,33,20.3,1,2
1986,7,16,62,22.8,1,3
1986,8,6,37,29.2,9,16
1986,9,7,53,26.3,11,51
1986,10,5,72,20.2,232,21
1986,11,10,56,14.5,333,3
1986,12,8,7,8.2,462,5
1987,1,6,17,6.2,511,3
1987,2,8,5,7,569,2
1987,3,5,28,5.8,414,3
1987,4,9,54,12.1,109,2
1987,5,11,24,18.8,2,11
1987,6,9,32,23,1,3
1987,7,7,26,22.9,2,1
1987,8,16,28,26,1,9
1987,9,19,56,27,1,2
1987,10,13,77,20,1,1
1987,11,14,88,14.1,1,3
1987,12,9,48,7,7,3
1988,1,16,36,5.9,121,3
1988,2,21,22,4.7,243,4
1988,3,7,23,5.9,269,2
1988,4,13,53,12.4,1,1
1988,5,11,37,17.5,1,1
1988,6,13,27,24.7,1,3
1988,7,13,59,23.8,1,2
1988,8,16,75,27,23,4
1988,9,11,68,24.5,187,2
1988,10,10,77,19,417,1
1988,11,12,60,13.3,425,1
1988,12,11,36,8.5,273,1
1989,1,6,3,6.5,435,2
1989,2,5,18,5.7,617,2
1989,3,9,13,8.5,527,1
1989,4,8,21,13.7,434,1
1989,5,16,49,20,27,1
1989,6,18,46,21.4,1,2
1989,7,16,63,23.6,2,1
1989,8,10,77,28.9,1,14
1989,9,12,74,26,5,6
1989,10,13,73,18.7,131,1
1989,11,12,69,17,305,1
1989,12,13,26,8.8,265,1
1990,1,5,4,5.5,870,3
1990,2,4,13,3.6,499,1
1990,3,7,26,9.3,655,4
1990,4,14,36,14.2,370,1
1990,5,12,59,19.1,2,1
1990,6,15,34,23.3,1,0
1990,7,16,42,23.1,0,1
1990,8,15,65,28.1,0,11
1990,9,12,76,25.8,0,1
1990,10,8,72,21.4,1,1
1990,11,12,58,17.6,13,1
1990,12,13,84,11.9,38,1
1991,1,10,25,5.8,199,1
1991,2,6,22,5.4,307,1
1991,3,7,51,7.7,382,1
1991,4,8,74,12.8,36,0
1991,5,10,42,17.3,1,1
1991,6,15,30,27.4,1,1
1991,7,21,79.5,27.36666667,3.333333333,20.33333333
1991,8,9,70,26.1,7,73.5
1991,9,10,78,25.9,4,28
1991,10,8,92,17,806.5,8.5
1991,11,11,36,12.75,919,3
1991,12,8,40,10.6,512,1
1992,1,6,16,6.2,669,2
1992,2,4,11,5.2,717,1
1992,3,4,21,8.6,543,1
1992,4,8,32,14.7,432,1
1992,5,14,37,15.7,48,1
1992,6,11,37,21.4,64,1
1992,7,16,39,24.75,1.5,1
1992,8,12,61,27,7,30.5
1992,9,13,76,24.4,4,22.5
1992,10,15,92,18.15,20,5
1992,11,14,119,13.3,4,2.5
1992,12,11,77,11.6,1,1
1993,1,16,48,6.4,124,2
1993,2,15,84,6.5,281,1
1993,3,15,80,7.4,192,0
1993,4,20,97,11.3,1,1
1993,5,17,49,19.2,0,0
1993,6,13,81,21.5,3,1
1993,7,19,85,21.5,0,13
1993,8,13,102,22.3,10,1
1993,9,12,54,23.6,134,10
1993,10,18,67,20,140,1
1993,11,16,81,14.3,80,1
1993,12,17,83,9.7,42,1
1994,1,20,53,5.3,227,10
1994,2,12,28,4.6,260,1
1994,3,27,41,6.9,354,2
1994,4,33,61,15.5,10,1
1994,5,18,63,18.3,0,1
1994,6,17,58,22,1,1
1994,7,27,44,25.6,1,6
1994,8,15,78,30.5,0,24
1994,9,15,45,27.7,0,23
1994,10,15,63,21.2,16,20
1994,11,39,68,15.3,12,1
1994,12,14,34,10.1,3,1
1995,1,38,36,5.6,1,2
1995,2,31,44,4.1,6,1
1995,3,33,50,7.3,0,0
1995,4,32,54,12.1,1,1
1995,5,34,56,17.5,2,0
1995,6,32,65,20,1,1
1995,7,33,74,23.8,2,0
1995,8,28,70,30.3,1,4
1995,9,27,92,26,1,11
1995,10,33,74,22.2,44,2
1995,11,41,68,15.2,42,1
1995,12,42,68,8.4,12,1
1996,1,40,50,4.8,68,1
1996,2,40,65,2.8,123,1
1996,3,31,56,7.3,125,1
1996,4,39,72,10,7,1
1996,5,31,49,15.5,0,0
1996,6,34,48,20.4,0,1
1996,7,33,42,26,0,2
1996,8,32,68,25.8,1,13
1996,9,42,83,22.9,0,33
1996,10,37,83,19,34,4
1996,11,44,63,15.6,1,24
1996,12,45,64,8.7,0,1
1997,1,38,60,6.1,0,1
1997,2,39,64,4.9,0,1
1997,3,37,51,9.3,0,0
1997,4,44,53,14.4,0,0
1997,5,42,55,18,0,0
1997,6,44,66,20.1,0,6
1997,7,26,63,26.2,3,51
1997,8,29,67,26.7,4,34
1997,9,33,68,25.6,0,11
1997,10,38,48,20.7,0,3
1997,11,47,64,14.4,2,1
1997,12,44,71,10.1,1,1
1998,1,46,55,5.8,0,1
1998,2,42,71,4.7,31,1
1998,3,39,83,7.1,2,1
1998,4,36,72,12.7,2,3
1998,5,39,100,18.2,0,4
1998,6,40,97,18.1,0,3
1998,7,34,44,27.3,1,25
1998,8,28,69,26.6,3,58
1998,9,25,87,23.4,0,50
1998,10,33,34,21.4,850,34
1998,11,38,45,14.4,844,8
1998,12,37,42,8.6,655,1
1999,1,36,52,4.2,517,3
1999,2,31,49,4.6,292,3
1999,3,32,66,6.5,104,2
1999,4,40,68,11.7,3,3
1999,5,41,23,19,1,2
1999,6,36,33,23.3,0,5
1999,7,43,38,21.9,94,30
1999,8,37,49,28.2,60,56
1999,9,47,60,26.8,65,33
1999,10,34,43,20.7,0,7
1999,11,36,38,14.4,4,2
1999,12,42,38,9.5,1,1
2000,1,36,45,6.1,0,1
2000,2,44,47,5.1,1,1
2000,3,43,39,6.1,0,1
2000,4,33,45,12,1,2
2000,5,32,28,17.7,0,4
2000,6,37,48,25,1,2
2000,7,39,66,25.1,1,3
2000,8,36,73,28.6,4,34
2000,9,32,49,24.9,173,43
2000,10,37,40,20.4,380,32
2000,11,32,35,15,536,21
2000,12,31,45,6.9,315,2
2001,1,34,48,3.8,197,3
2001,2,42,49,3.1,266,2
2001,3,43,55,6.1,140,2
2001,4,36,49,13.5,1,4
2001,5,39,48,15.9,0,2
2001,6,42,51,21.1,2,10
2001,7,41,32,26.7,45,46
2001,8,40,57,24.7,30,53
2001,9,23,67,24.4,10,33
2001,10,33,58,19.1,10,18
2001,11,57,34,14.9,1,5
2001,12,36,55,8.4,0,2
2002,1,43,60,3.6,21,2
2002,2,37,75,4.9,13,3
2002,3,38,57,11.6,0,2
2002,4,33,55,14,0,1
2002,5,37,32,18.2,2,5
2002,6,34,40,23.2,1,7
2002,7,30,34,24.8,37,11
2002,8,42,21,31.3,369,55
2002,9,32,21,26.9,219,81
2002,10,33,26,21.3,564,51
2002,11,37,25,12.8,555,32
2002,12,34,25,7.8,457,14
2003,1,39,32,3.9,554,10
2003,2,37,53,5.4,325,3
2003,3,35,70,7.2,167,1
2003,4,32,61,12.3,0,4
2003,5,28,42,19.2,0,2
2003,6,41,45,23.4,0,3
2003,7,26,24,22.4,60,40
2003,8,34,20,26.5,519,53
2003,9,22,24,25.8,474,39
2003,10,17,77,18.8,86,4
2003,11,22,36,15.5,54,8
2003,12,30,30,10.6,185,5
2004,1,25,28,6.3,282,3
2004,2,28,34,5,315,6
2004,3,30,60,8.1,296,4
2004,4,33,54,14,285,8
2004,5,35,47,18.1,1,4
2004,6,42,38,21.4,16,10
2004,7,18,13,27.6,151,57
2004,8,29,19,29,333,60
2004,9,34,42,26.5,108,52
2004,10,28,22,19,142,22
2004,11,43,35,17.5,456,1
2004,12,53,54,12.4,530,2
2005,1,49,61,5.6,377,0
2005,2,40,80,5.3,511,2
2005,3,39,73,7.2,328,2
2005,4,37,83,12.5,222,6
2005,5,44,46,16.6,0,1
2005,6,48,37,21.6,0,1
2005,7,24,12,23.6,43,39
2005,8,27,11,28.8,351,62
2005,9,24,11,26.9,538,64
2005,10,27,13,20.2,716,70
2005,11,24,15,16,701,44
2005,12,42,53,9.1,405,1
2006,1,37,39,3,182,2
2006,2,34,45,4.2,160,2
2006,3,37,74,9.8,1,2
2006,4,39,58,11.6,9,9
2006,5,43,30,17.2,0,2
2006,6,37,21,20.5,0,10
2006,7,34,43,26.1,38,19
2006,8,51,46,27.4,40,11
2006,9,48,40,24.9,2,25
2006,10,57,44,20.7,47,15
2006,11,57,63,16.4,10,2
2006,12,48,32,9.5,0,0
2007,1,34,109,6.3,86,2
2007,2,37,116,7.7,42,2
2007,3,24,111,9.9,0,2
2007,4,30,61,13.1,0,2
2007,5,29,40,20.5,0,2
2007,6,32,47,23.6,0,2
2007,7,36,61,24.7,5,13
2007,8,27,63,29.4,0,4
2007,9,39,83,26.1,0,7
2007,10,45,69,21.4,1,5
2007,11,37,60,16.5,1,1
2007,12,34,43,9.4,1,0
2008,1,36,48,6.7,1,0
2008,2,27,43,4.6,0,0
2008,3,31,60,7.7,1,0
2008,4,31,68,12.3,1,2
2008,5,35,58,19.5,0,1
2008,6,35,33,21.5,0,1
2008,7,40,53,25.4,20,2
2008,8,40,60,30.1,0,10
2008,9,42,38,26.7,250,15
2008,10,34,29,20.7,1,2
2008,11,41,35,14.1,174,2
2008,12,39,60,12.5,20,1
2009,1,38,63,6.2,177,1
2009,2,40,73,6.4,159,1
2009,3,39,110,8.1,59,1
2009,4,38,88,15.3,0,1
2009,5,45,58,20.1,0,1
2009,6,50,52,21.9,0,10
2009,7,27,40,24.9,82,51
2009,8,40,57,27.9,33,36
2009,9,55,64,23.9,110,34
2009,10,50,36,20.8,162,37
2009,11,57,42,16.3,156,1
2009,12,55,43,11,311,2
