system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Std_L_strength
Mu,NO3,Biomass,0.200783861,0.019733731,0.428571463,0.173546195,FALSE,0.451336192
Mu,PO4,Richness,0.373954566,7.17E-05,0.955555558,0.000172257,TRUE,0.840601576
Mu,PO4,Biomass,0.297943402,0.000841905,0.929669678,0.000795007,TRUE,0.669738296
Ng,Richness,Biomass,0.322568597,0.006478116,0.666666687,0.016488671,TRUE,0.612181605
Ng,Richness,NO3,0.324182326,0.019077952,0.925820053,0.007680297,TRUE,0.615244195
Ng,Richness,PO4,0.181419194,0.129056912,0.925820053,0.007680297,FALSE,0.344303488
Ng,Biomass,Richness,0.33290968,0.006022051,1,0.000263214,TRUE,0.631807262
Ng,Biomass,NO3,0.526916514,0.000747781,1,0.002666712,TRUE,1
Ng,Biomass,PO4,0.262182005,0.048978765,1,0.002666712,TRUE,0.497577887
Ng,Temp,Richness,0.257938311,0.008772417,1.000000119,0.000836611,TRUE,0.489524061
Ng,Temp,Biomass,0.061846202,0.288651972,0.763762593,0.012192011,FALSE,0.117373816
Ng,NO3,Richness,0.088395613,0.29241849,0.592156529,0.128275275,FALSE,0.167760188
Ng,NO3,Biomass,0.207717765,0.096909162,0.925820053,0.007680297,FALSE,0.394213807
Ng,PO4,Richness,0.219910977,0.084081241,0.925820053,0.007680297,FALSE,0.417354498
Ng,PO4,Biomass,0.303269769,0.026792228,0.925820053,0.007680297,TRUE,0.575555636
Wc,Richness,Biomass,0.36767478,0.000226137,1,0.000263214,TRUE,0.941791199
Wc,Richness,NO3,0.175497985,0.092246977,0.925820053,0.007680297,FALSE,0.44953439
Wc,Richness,PO4,0.379880374,0.001382489,0.975900054,0.003897905,TRUE,0.973055573
Wc,Biomass,Richness,0.308566645,0.000864295,0.944911242,0.002241373,TRUE,0.790386959
Wc,Biomass,NO3,0.083002072,0.266785882,0.805822968,0.011602759,FALSE,0.212608058
Wc,Biomass,PO4,0.306582468,0.008882461,0.975900054,0.003897905,TRUE,0.78530453
Wc,Temp,Richness,0.298213896,0.001226437,0.869318306,0.005085826,TRUE,0.763868609
Wc,Temp,Biomass,0.116628412,0.124880555,0.763762593,0.012192011,FALSE,0.29874122
Wc,NO3,Richness,0.291917759,0.012226256,0.878310025,0.009809136,TRUE,0.747741188
Wc,NO3,Biomass,0.252009902,0.026965738,0.925820053,0.007680297,TRUE,0.645518054
Wc,PO4,Richness,0.390399464,0.001065562,1,0.002666712,TRUE,1
Wc,PO4,Biomass,0.271062805,0.018742575,0.925820053,0.007680297,TRUE,0.694321663
Ft,Richness,Biomass,0.094427987,0.10843956,0.893980265,1.37E-05,FALSE,0.198865392
Ft,Richness,NO3,0.332938577,5.53E-05,0.927272797,9.92E-05,TRUE,0.701168825
Ft,Richness,PO4,0.148163889,0.025818599,0.874083102,0.000782251,TRUE,0.312033231
Ft,Biomass,Richness,0.081842636,0.142424559,0.864332557,0.000563741,FALSE,0.172360636
Ft,Biomass,NO3,0.054651528,0.244134982,0.700649142,0.009204984,FALSE,0.115096147
Ft,Biomass,PO4,0.092542979,0.111433421,0.849281251,3.65E-05,FALSE,0.194895564
Ft,Temp,Richness,0.08522913,0.132649374,0.773492455,0.000154853,FALSE,0.179492595
Ft,Temp,Biomass,0.047799921,0.258491849,0.956948698,9.54E-07,FALSE,0.10066666
Ft,NO3,Richness,0.474833685,3.33E-08,1.000000119,2.62E-05,TRUE,1
Ft,NO3,Biomass,0.22962871,0.0015285,0.960768998,1.06E-05,TRUE,0.483598189
Ft,PO4,Richness,0.099334517,0.096894945,0.879049003,0.000230789,FALSE,0.209198547
Ft,PO4,Biomass,0.222653073,0.018570692,0.890109837,1.19E-05,TRUE,0.468907494
Iba,Richness,Biomass,0.303706591,0.000886995,0.626373589,0.002171516,TRUE,0.752056046
Iba,Richness,NO3,0.40383505,0.003785909,0.846153796,3.17E-05,TRUE,1
Iba,Richness,PO4,0.318852014,4.06E-05,0.961904705,7.15E-07,TRUE,0.789560031
Iba,Biomass,Richness,0.268273858,0.00108539,0.97802192,1.43E-06,TRUE,0.664315437
Iba,Biomass,NO3,0.290790604,0.000174899,0.99999994,8.34E-07,TRUE,0.720072723
Iba,Biomass,PO4,0.216525585,0.001644289,0.920989871,9.06E-06,TRUE,0.536173335
Iba,Temp,Richness,0.235587029,0.000668808,0.966470838,3.22E-06,TRUE,0.583374397
Iba,Temp,Biomass,0.142688622,0.027462195,0.99999994,2.38E-07,TRUE,0.353333923
Iba,NO3,Richness,0.368121823,0.000248286,0.99999994,8.34E-07,TRUE,0.911564816
Iba,NO3,Biomass,0.259910542,0.000949259,0.912087858,7.15E-06,TRUE,0.643605705
Iba,PO4,Richness,0.348308257,2.66E-05,0.97802192,1.43E-06,TRUE,0.862501305
Iba,PO4,Biomass,0.209951309,0.008094273,0.942857087,1.19E-06,TRUE,0.519893726
Ibb,Richness,Biomass,0.463156009,1.99E-05,0.97802192,1.43E-06,TRUE,0.752229646
Ibb,Richness,NO3,0.615710922,7.43E-07,0.912087858,7.15E-06,TRUE,1
Ibb,Richness,PO4,0.166121486,0.012538686,0.995226622,3.58E-07,TRUE,0.269804351
Ibb,Biomass,Richness,0.360908245,8.29E-06,0.97802192,1.43E-06,TRUE,0.586165086
Ibb,Biomass,NO3,0.499686189,2.19E-08,0.99999994,8.34E-07,TRUE,0.811559729
Ibb,Biomass,PO4,0.182000265,0.029983688,0.828571379,2.09E-05,TRUE,0.295593693
Ibb,Temp,Richness,0.142445367,0.032231362,0.883991361,1.48E-05,TRUE,0.231351048
Ibb,Temp,Biomass,0.063279865,0.198616074,0.850275457,5.26E-05,FALSE,0.102775285
Ibb,NO3,Richness,0.523054747,0.001219002,0.67032963,0.001020908,TRUE,0.849513511
Ibb,NO3,Biomass,0.593960396,9.59E-11,0.97802192,1.43E-06,TRUE,0.964674126
Ibb,PO4,Richness,0.102701925,0.091920676,0.923809469,2.03E-06,FALSE,0.166802181
Ibb,PO4,Biomass,0.159106222,0.016019011,0.95029074,3.10E-06,TRUE,0.258410589
Ibc,Richness,Biomass,0.375490197,0.000897386,0.758241713,0.000197172,TRUE,0.550553934
Ibc,Richness,NO3,0.682022548,2.55E-08,0.97802192,1.43E-06,TRUE,1
Ibc,Richness,PO4,0.28577283,6.88E-05,0.890109837,1.19E-05,TRUE,0.419007891
Ibc,Biomass,Richness,0.297167416,0.000239776,0.97802192,1.43E-06,TRUE,0.435714943
Ibc,Biomass,NO3,0.261182237,0.000621682,0.99999994,8.34E-07,TRUE,0.382952496
Ibc,Biomass,PO4,0.186535739,0.005839219,0.994490325,1.07E-06,TRUE,0.273503771
Ibc,Temp,Richness,0.104042012,0.081494317,0.920989871,9.06E-06,FALSE,0.152549227
Ibc,Temp,Biomass,0.105675906,0.07821773,0.938679278,4.89E-06,FALSE,0.154944886
Ibc,NO3,Richness,0.505268876,0.000469604,0.868131816,1.96E-05,TRUE,0.740838961
Ibc,NO3,Biomass,0.430736043,7.32E-07,0.99999994,8.34E-07,TRUE,0.631556896
Ibc,PO4,Richness,0.108576436,0.072645943,0.966470838,3.22E-06,FALSE,0.159197722
Ibc,PO4,Biomass,0.139439673,0.030383618,0.751392663,0.000239372,TRUE,0.204450239
Ibd,Richness,Biomass,0.470705676,2.28E-05,0.824175775,5.10E-05,TRUE,0.991191769
Ibd,Richness,NO3,0.474888605,0.000164612,0.956043899,2.50E-06,TRUE,1
Ibd,Richness,PO4,0.172190984,0.023734012,0.912087858,7.15E-06,TRUE,0.362592368
Ibd,Biomass,Richness,0.281831638,0.000391222,0.980952322,4.77E-07,TRUE,0.593468942
Ibd,Biomass,NO3,0.246118744,0.000552459,0.956043899,2.50E-06,TRUE,0.518266266
Ibd,Biomass,PO4,0.182446718,0.018128967,0.942857087,1.19E-06,TRUE,0.384188452
Ibd,Temp,Richness,0.098742902,0.092825195,0.898249328,1.51E-05,FALSE,0.207928556
Ibd,Temp,Biomass,0.068354959,0.180181081,0.755928934,0.000456452,FALSE,0.143938932
Ibd,NO3,Richness,0.390953559,0.000169167,0.97802192,1.43E-06,TRUE,0.823253189
Ibd,NO3,Biomass,0.215134025,0.011776486,0.780219734,0.000127077,TRUE,0.453019978
Ibd,PO4,Richness,0.165767851,0.015467745,0.846153796,3.17E-05,TRUE,0.349066811
Ibd,PO4,Biomass,0.109435404,0.071055011,0.961028755,2.86E-06,FALSE,0.230444368
Vo,Richness,Biomass,0.36207409,0.000241607,1,0.000263214,TRUE,1
Vo,Richness,NO3,0.137797204,0.089385767,0.852012873,0.003099442,FALSE,0.380577368
Vo,Richness,PO4,0.195377238,0.027497053,1,8.31E-05,TRUE,0.539605687
Vo,Biomass,Richness,0.275087523,0.00498685,1,0.000263214,TRUE,0.759754787
Vo,Biomass,NO3,0.17002353,0.095210953,1,8.31E-05,FALSE,0.46958215
Vo,Biomass,PO4,0.108201293,0.146130767,0.955555558,0.000172257,FALSE,0.298837437
Vo,Temp,Richness,0.036455831,0.363591515,0.618283987,0.044938564,FALSE,0.100686108
Vo,Temp,Biomass,0.049221725,0.318743846,0.873326063,0.001661658,FALSE,0.135943794
Vo,NO3,Richness,0.177528652,0.040961475,0.911111116,0.000346661,TRUE,0.490310289
Vo,NO3,Biomass,0.23329547,0.011510972,1,0.000263214,TRUE,0.64433075
Vo,PO4,Richness,0.1531725,0.111148765,0.611111104,0.028567672,FALSE,0.42304187
Vo,PO4,Biomass,0.229330233,0.013593659,1,8.31E-05,TRUE,0.633379299
Od,Richness,Biomass,0.383788383,9.19E-05,0.912870884,0.148561716,FALSE,0.528311111
Od,Richness,NO3,0.42551737,0.005528152,0.800000012,0.086410761,FALSE,0.585753932
Od,Richness,PO4,0.726443898,6.83E-09,NA,NA,NA,1
Od,Biomass,Richness,0.444793471,0.000426039,0.99999994,0.089429379,FALSE,0.612288811
Od,Biomass,NO3,0.246434504,0.048182171,0.888888896,0.001229405,TRUE,0.339234048
Od,Biomass,PO4,0.517965227,4.24E-05,1,0.002666712,TRUE,0.713014767
Od,Temp,Richness,0.375313337,0.000131808,NA,NA,NA,0.516644627
Od,Temp,Biomass,0.498019382,4.21E-06,0.99999994,0.089429379,FALSE,0.68555794
Od,NO3,Richness,0.457753148,3.32E-05,1.000000119,0.000836611,TRUE,0.630128698
Od,NO3,Biomass,0.240197359,0.008189953,0.809523821,0.016260982,TRUE,0.330648189
Od,PO4,Richness,0.341041892,0.000796493,1.000000119,0.000836611,TRUE,0.469467626
Od,PO4,Biomass,0.432504952,8.60E-05,1,0.002666712,TRUE,0.59537282
Mg,Richness,Biomass,0.364583754,4.50E-05,0.925820053,0.007680297,TRUE,0.92467521
Mg,Richness,NO3,0.330962847,0.000212526,1,0.027486324,TRUE,0.839404216
Mg,Richness,PO4,0.214990935,0.01278826,0.944444418,0.000580668,TRUE,0.54527056
Mg,Biomass,Richness,0.218972768,0.011282084,0.898933113,0.000461221,TRUE,0.55536948
Mg,Biomass,NO3,0.292837531,0.000996853,0.90476191,0.006863832,TRUE,0.742708917
Mg,Biomass,PO4,0.217909715,0.011790564,0.943879783,0.000231504,TRUE,0.552673314
Mg,Temp,Richness,0.179278312,0.034230191,0.890909135,0.000186324,TRUE,0.454694455
Mg,Temp,Biomass,0.129734766,0.09062432,0.632455528,0.288844347,FALSE,0.329039681
Mg,NO3,Richness,0.314413116,0.003490608,0.911111116,0.000346661,TRUE,0.797429977
Mg,NO3,Biomass,0.394283041,9.71E-06,1,0.002666712,TRUE,1
Mg,PO4,Richness,0.195095162,0.021678093,0.972344935,5.94E-05,TRUE,0.494809926
Mg,PO4,Biomass,0.099890409,0.152788041,0.966091812,0.00019753,FALSE,0.253346957
Kn,Richness,Biomass,0.475361429,5.61E-06,1,0.000263214,TRUE,0.986720134
Kn,Richness,NO3,0.39254226,0.000336425,0.888888896,0.001229405,TRUE,0.814810222
Kn,Richness,PO4,0.402589539,0.001774832,0.944444418,0.000580668,TRUE,0.835665621
Kn,Biomass,Richness,0.379527472,0.000473012,1,0.000263214,TRUE,0.787795086
Kn,Biomass,NO3,0.481759126,2.83E-06,1,0.000263214,TRUE,1
Kn,Biomass,PO4,0.311990919,0.001019091,0.944444418,0.000580668,TRUE,0.6476077
Kn,Temp,Richness,0.469329384,1.94E-07,1,0.000263214,TRUE,0.97419926
Kn,Temp,Biomass,0.233846633,0.015260242,0.866666675,0.000676751,TRUE,0.485401564
Kn,NO3,Richness,0.356063844,0.000110083,0.955555558,0.000172257,TRUE,0.739091021
Kn,NO3,Biomass,0.348094243,0.000140216,0.849836588,0.003972292,TRUE,0.722548312
Kn,PO4,Richness,0.469775877,2.04E-05,0.944444418,0.000580668,TRUE,0.975126057
Kn,PO4,Biomass,0.25458816,0.004858243,0.944444418,0.000580668,TRUE,0.528455293
Wd,Richness,Biomass,0.315843057,0.009020904,0.944444418,0.000580668,TRUE,0.897054248
Wd,Richness,NO3,0.10725261,0.152192567,0.986013293,0.000365019,FALSE,0.304617775
Wd,Richness,PO4,0.34967932,0.000610556,0.833333313,0.002498984,TRUE,0.993155657
Wd,Biomass,Richness,0.352089138,0.000225032,1.000000119,0.000836611,TRUE,1
Wd,Biomass,NO3,0.175961031,0.033573988,0.890909135,0.000186324,TRUE,0.499762734
Wd,Biomass,PO4,0.171071525,0.045771766,0.890909135,0.000186324,TRUE,0.48587561
Wd,Temp,Richness,0.273251051,0.003740967,0.928571463,0.001981735,TRUE,0.776084863
Wd,Temp,Biomass,0.081194207,0.201074379,0.690065563,0.008469939,FALSE,0.230606964
Wd,NO3,Richness,0.296524943,0.001771379,0.925820053,0.007680297,TRUE,0.842187136
Wd,NO3,Biomass,0.028549208,0.384374372,0.816496551,0.003182054,FALSE,0.081085172
Wd,PO4,Richness,0.256452455,0.006170283,0.69102335,0.024821877,TRUE,0.728373662
Wd,PO4,Biomass,0.338681292,0.000792549,1,8.31E-05,TRUE,0.96191917
