"","NO3->EF","BD->EF","PO4->EF","Temp->EF","W_stability->EF","Irradiance->EF","NO3->BD","EF->BD","PO4->BD","Temp->BD","BD<->EF","BD<->NO3","BD<->PO4","NO3<->EF","PO4<->EF","Type I-N","Type II-N","Type I-P","Type II-P"
"Kn",0.770038902719055,0.722960924326995,0.625001407638951,0.381658043113194,0.496592024910596,0.416269222149353,0.757944078292849,0.89565505550308,1,0.999049561146287,0.804688515392542,0.795822906486423,0.925733301391857,0.664120674008766,0.691573427938599,0.679586027021115,0.832178296261608,0.820924987740815,0.782824694069892
"Wd",0.262650017275434,0.454306180539739,0.927788889603365,0.302376665000625,0.667829445158023,NA,0.759128022829722,1,0.656539187070243,0.699544961263746,0.674022388752584,0.456549995075256,0.766641273999457,0.405624395215921,0.765541346621818,0.600037126651576,0.416242446049684,0.573278707169363,0.939992314357287
"Min.",0.182418675477614,0.35981346527795,0.233106582695723,0.0444168751480699,0.0795566168353173,0.168034713640567,0.246834535835538,0.485715876774381,0.159197721606571,0.0976541074080441,0.433369269287848,0.242905727083919,0.207566230175686,0.0994806237073708,0.243124863709576,0.210594248073964,0.284107394867573,0.225932640987488,0.2709220557924
"1st Qu.",0.466423676395197,0.528539478382734,0.432140676998071,0.186388461409985,0.278378030679066,0.213701341706859,0.547600835233083,0.609942880485195,0.361598963167077,0.219639801683777,0.583742563791107,0.465581630486709,0.388642993721348,0.482760936303912,0.422130200113908,0.569615175101185,0.569389883891099,0.443543083533107,0.473807260310576
"Median",0.553817354024098,0.613833635886891,0.517740109106082,0.330128745092088,0.374021091111856,0.315915464410186,0.740838960895737,0.666945975573865,0.461665320253752,0.368988903730245,0.649525378027289,0.711994483301533,0.557750901755393,0.591313276200017,0.554130601339269,0.636294489930532,0.650154487998598,0.620514703831017,0.629927570749109
"Mean",0.567546685268247,0.692012035491064,0.579824353887711,0.370848816475233,0.430275594772669,0.343064657606937,0.668857421035118,0.693227107889895,0.544906571253923,0.450806732610963,0.68838208942529,0.677003757316882,0.568709199982993,0.577349269937631,0.572959623706083,0.625407416014498,0.635421036602862,0.578536254576646,0.615954760980364
"3rd Qu.",0.728586454472562,0.934417294652632,0.699711112835965,0.43149034449374,0.580940611539221,0.429476203838653,0.836383350273795,0.792556729736243,0.797558096490777,0.633646521022862,0.829944116098976,0.879102054827784,0.79472065771612,0.669621592256748,0.723927439658539,0.74376073640657,0.726093384731557,0.705134499784493,0.710432552721808
"Max.",0.975471183812741,1,1,1,1,0.66061350000088,1,1,1,1,0.922557747202909,0.955733330625247,0.925733301391857,0.993923084847453,0.945795124025249,0.900286305614551,0.832178296261608,0.839317329220742,0.939992314357287
"IQR",0.262162778077365,0.405877816269898,0.267570435837894,0.245101883083754,0.302562580860155,0.215774862131793,0.288782515040712,0.182613849251047,0.4359591333237,0.414006719339085,0.246201552307869,0.413520424341075,0.406077663994772,0.186860655952836,0.301797239544632,0.174145561305385,0.156703500840459,0.261591416251385,0.236625292411232
"n_significant",14,16,15,6,NA,NA,15,17,12,11,16,11,10,12,13,12,12,10,14
"n_rank1",7,8,3,1,NA,NA,8,7,2,2,4,7,3,2,0,5,5,1,4
